대분류,소분류,링크
직할,홈페이지,http://www.sejong.ac.kr/
직할,학생경력개발시스템,https://udream.sejong.ac.kr/
직할,학생경력개발시스템,https://do.sejong.ac.kr/
직할,학술정보원,https://library.sejong.ac.kr/index.ax
직할,대양휴머니티칼리지,http://classic.sejong.ac.kr/
직할,홍보실,http://www.sejongpr.ac.kr/index.do
직할,SKBS,http://www.sejong.ac.kr/unilife/skbs.html
직할,행복기숙사,https://happydorm.sejong.ac.kr/
직할,입학처,http://ipsi.sejong.ac.kr/
직할,세종대학교포털,https://portal.sejong.ac.kr/user/index.do
직할,인터넷증명발급센터,https://uni.webminwon.com/servlet/WMINDEX?COMMAND=CHOICE
직할,학생생활상담소,http://home.sejong.ac.kr/~scc/
직할,공학교육센터,http://abeek.sejong.ac.kr/index.do
직할,국제교육원,http://ili.sejong.ac.kr/index.do
직할,세종대학교 국제교류센터,http://oia.sejong.ac.kr/index.do
직할,집현캠퍼스,https://online.sejong.ac.kr/
학과,국어국문학과,http://home.sejong.ac.kr/~kordpt/
학과,영어영문과,http://home.sejong.ac.kr/~engdpt/
학과,일어일문학과,http://home.sejong.ac.kr/~japan/
학과,중국통상학,http://home.sejong.ac.kr/~cndpt/
학과,CK산업단,http://home.sejong.ac.kr/~hsk/
학과,역사학과,http://home.sejong.ac.kr/~histdpt/
학과,교육학과,http://home.sejong.ac.kr/~edudpt/
학과,행정학과,http://home.sejong.ac.kr/~admdpt/
학과,미디어커뮤니케이션학과,http://home.sejong.ac.kr/~nnbdpt/
학과,경제학과,http://home.sejong.ac.kr/~entdpt/
학과,경영학과,http://home.sejong.ac.kr/~mnadpt/
학과,호텔관경영학과,http://home.sejong.ac.kr/~hoteldpt/
학과,외식경영학과,X
학과,호텔외관광프랜차이즈경영학과,http://home.sejong.ac.kr/~hoteldpt/
학과,호텔외식비즈니스학과,http://home.sejong.ac.kr/~hoteldpt/
학과,글로벌조리학과,http://home.sejong.ac.kr/~hoteldpt/
학과,수학통계학과,http://home.sejong.ac.kr/~appmath/
학과,물리천문학과,http://home.sejong.ac.kr/~phyastrodpt/
학과,화확과,http://home.sejong.ac.kr/~chemdpt/
학과,식품생명공학과,http://home.sejong.ac.kr/~fooddpt/
학과,바이오융합공학과,http://home.sejong.ac.kr/~bioscidpt/
학과,바이오산업자원공학과,http://home.sejong.ac.kr/~bioeng/
학과,스마트생명산업융합학과,http://home.sejong.ac.kr/~bioindustry/
학과,전자정보통신공학과,http://home.sejong.ac.kr/~electrodpt/
학과,반도체시스템공학과,http://home.sejong.ac.kr/~sse/
학과,컴퓨터공학과,http://home.sejong.ac.kr/~cedpt/
학과,소프트웨어학과,http://home.sejong.ac.kr/~digitdpt/
학과,정보보호학과,http://home.sejong.ac.kr/~isdpt/
학과,데이터사이언스학과,http://home.sejong.ac.kr/~dsdpt/
학과,지능기전공학과,http://imc.sejong.ac.kr/
학과,디자인이노베이션학과,http://home.sejong.ac.kr/~design/
학과,만화애니메이션텍학과,http://home.sejong.ac.kr/~anitec/
학과,인공지능학과,http://home.sejong.ac.kr/~aidpt/
학과,건축공학과,http://home.sejong.ac.kr/~constdpt/
학과,건축학과,https://www.architecture.sejong.ac.kr/
학과,건설환경공학과,http://home.sejong.ac.kr/~builddpt/
학과,환경에너지공간융합학과,http://home.sejong.ac.kr/~eegdpt/
학과,지구자원시스템공학과,http://home.sejong.ac.kr/~energydpt/
학과,기계공학과,http://home.sejong.ac.kr/~medpt/
학과,항공우주공학과,http://home.sejong.ac.kr/~aerodpt/
학과,나노신소재공학과,http://www.sjname.ac.kr/
학과,양자원자력공학과,http://home.sejong.ac.kr/~nuedpt/
학과,국방시스템공학과,http://dse.sejong.ac.kr/
학과,항공시스템공학과,http://home.sejong.ac.kr/~aerosysdpt/
학과,회화과,http://home.sejong.ac.kr/~picdpt/
학과,패션디자인학과,http://home.sejong.ac.kr/~fasdpt/
학과,음악과,http://home.sejong.ac.kr/~musicdpt/
학과,체육학과,http://home.sejong.ac.kr/~pedpt/
학과,무용과,http://home.sejong.ac.kr/~dancedpt/
학과,영화예술학과,http://home.sejong.ac.kr/~moviedpt/
학과,법학과,http://home.sejong.ac.kr/~openmajor/
외부,블랙보드,https://blackboard.sejong.ac.kr/ultra/course
외부,Ucheck,http://ucheck.sejong.ac.kr/
외부,세종대학교 교환학생,https://cafe.naver.com/sejongexchange
외부,YGOON교육할인스토어,http://www.ygoon.com/mall/signUp/uniStepOne?affiliateId=378
외부,에브리타임,https://everytime.kr/
외부,캠퍼스픽,https://www.campuspick.com/
외부,세종대백과,http://sejong.wiki/start
외부,세종대역,https://m.cafe.daum.net/sejongstation/_rec